date_time,air_temp_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,precip_accum_24_hour_set_1,snow_accum_24_hour_set_1,snow_depth_set_1,weather_cond_code_set_1,weather_condition_set_1d,weather_summary_set_1d
position,elevation,air_temp,air_temp_high_24_hour,air_temp_low_24_hour,precip_accum_24_hour,snow_accum_24_hour,snow_depth,weather_cond_code
ft,ft,Fahrenheit,Fahrenheit,Fahrenheit,Inches,Inches,Inches,code
2024-01-09 07:38,33.0,35.0,31.0,0.41,1.5,2.0,,,
2024-01-10 07:18,32.0,39.0,32.0,0.54,0.001,0.0,,,
2024-01-14 14:00,-4.0,19.0,-8.0,0.01,0.5,1.0,,,
2024-01-15 14:17,4.0,5.0,-10.0,0.0,0.0,1.0,,,
2024-01-16 07:35,-0.0,6.0,-0.0,0.02,0.5,1.0,,,
2024-01-17 07:00,2.0,6.0,-0.0,0.0,0.0,1.0,,,
2024-01-18 07:28,20.0,22.0,1.0,0.2,0.5,1.0,,,
2024-01-19 07:00,18.0,26.0,18.0,0.17,1.1,2.0,,,
2024-01-20 07:29,-0.0,23.0,-0.0,0.25,0.4,3.0,,,
2024-01-21 07:52,-4.0,23.0,-4.0,0.0,0.0,2.0,,,
2024-01-22 07:27,22.0,22.0,-5.0,0.0,0.0,2.0,,,
2024-01-23 11:55,35.0,35.0,22.0,0.4,0.0,2.0,,,
2024-01-24 07:19,36.0,38.0,22.0,0.11,0.0,2.0,,,
2024-01-25 07:18,35.0,40.0,35.0,0.2,0.0,0.0,,,
2024-01-26 07:23,36.0,41.0,35.0,0.26,0.0,0.0,,,
2024-01-27 11:40,38.0,41.0,34.0,0.001,0.0,0.0,3.0,snow,snow
2024-01-28 14:05,38.0,41.0,33.0,0.1,0.0,0.0,3.0,snow,snow
2024-01-29 07:28,32.0,38.0,31.0,0.25,0.0,0.0,,,
2024-01-30 07:36,32.0,33.0,30.0,0.09,0.0,0.0,,,
2024-01-31 07:00,35.0,36.0,30.0,0.05,0.0,0.0,,,
2024-02-04 14:40,40.0,40.0,26.0,0.0,0.0,0.0,,,
2024-02-05 07:24,29.0,46.0,23.0,0.0,0.0,0.0,,,
2024-02-06 07:20,31.0,52.0,29.0,0.0,0.0,0.0,,,
2024-02-07 07:21,28.0,44.0,26.0,0.0,0.0,0.0,,,
2024-02-08 07:15,44.0,47.0,26.0,0.0,0.0,0.0,,,
2024-02-09 07:12,52.0,60.0,43.0,0.0,0.0,0.0,,,
2024-02-10 07:39,34.0,63.0,34.0,0.0,0.0,0.0,,,
2024-02-11 07:28,22.0,39.0,21.0,0.0,0.0,0.0,,,
2024-02-12 08:19,23.0,43.0,21.0,0.0,0.0,0.0,,,
2024-02-13 07:00,24.0,44.0,21.0,0.0,0.0,0.0,,,
2024-02-14 07:25,19.0,43.0,19.0,0.0,0.0,0.0,,,
2024-02-15 07:12,38.0,44.0,19.0,0.0,0.0,0.0,,,
2024-02-16 07:26,27.0,42.0,24.0,0.9,0.0,0.0,,,
2024-02-17 12:38,20.0,29.0,16.0,0.15,1.0,1.0,,,
2024-02-18 12:45,31.0,31.0,13.0,0.0,0.0,1.0,,,
2024-02-19 10:51,34.0,35.0,18.0,0.0,0.0,0.0,,,
2024-02-20 07:20,23.0,46.0,18.0,0.0,0.0,0.0,,,
2024-02-21 07:16,38.0,54.0,23.0,0.0,0.0,0.0,,,
2024-02-22 07:30,46.0,63.0,38.0,0.39,0.0,0.0,,,
2024-02-23 07:21,33.0,55.0,29.0,0.18,0.0,0.0,,,
2024-02-24 11:10,23.0,51.0,19.0,0.2,2.0,2.0,1.0,rain,rain
2024-02-25 12:12,44.0,44.0,23.0,0.0,0.0,0.0,1.0,rain,rain
2024-02-26 07:00,32.0,54.0,31.0,0.0,0.0,0.0,,,
2024-02-27 07:00,55.0,66.0,31.0,0.0,0.0,0.0,,,
2024-02-28 07:00,38.0,71.0,33.0,0.001,0.0,0.0,,,
2024-02-29 07:00,19.0,38.0,18.0,0.0,0.0,0.0,,,
2024-03-01 09:26,34.0,41.0,19.0,0.0,0.0,0.0,,,
2024-03-12 07:00,43.0,60.0,23.0,0.0,0.0,0.0,,,
2024-03-13 07:09,49.0,68.0,23.0,0.0,0.0,0.0,,,
2024-03-14 07:00,52.0,74.0,47.0,0.86,0.0,0.0,,,
2024-03-15 07:32,44.0,74.0,44.0,0.95,0.0,0.0,,,
2024-03-16 11:13,52.0,56.0,32.0,0.001,0.0,0.0,1.0,rain,rain
2024-03-17 12:57,37.0,61.0,34.0,0.001,0.0,0.0,3.0,snow,snow
2024-03-18 08:00,27.0,41.0,27.0,0.0,0.0,0.0,,,
2024-03-19 07:17,27.0,33.0,26.0,0.25,0.0,0.0,,,
2024-03-20 07:10,35.0,55.0,26.0,0.0,0.0,0.0,,,
2024-03-21 07:15,21.0,40.0,20.0,0.0,0.0,0.0,,,
2024-03-22 07:18,32.0,37.0,21.0,0.001,0.001,0.0,71.0,,
2024-03-23 07:00,27.0,51.0,27.0,0.0,0.0,0.0,,,
2024-03-31 13:41,50.0,67.0,39.0,0.0,0.0,0.0,,,
2024-04-01 07:37,42.0,58.0,42.0,1.55,0.0,0.0,,,
2024-04-02 07:26,42.0,50.0,41.0,0.57,0.0,0.0,,,
2024-04-03 07:23,34.0,57.0,34.0,0.1,0.0,0.0,,,
2024-04-04 07:18,37.0,41.0,34.0,0.27,0.0,0.0,,,
2024-04-05 07:00,38.0,44.0,37.0,0.02,0.0,0.0,,,
2024-04-06 07:31,27.0,49.0,27.0,0.01,0.0,0.0,,,
2024-04-07 07:19,35.0,57.0,26.0,0.0,0.0,0.0,,,
2024-04-08 07:00,44.0,58.0,35.0,0.22,0.0,0.0,,,
2024-04-09 07:36,52.0,73.0,43.0,0.0,0.0,0.0,,,
2024-04-10 07:45,44.0,73.0,43.0,0.0,0.0,0.0,,,
2024-04-11 08:25,49.0,72.0,43.0,0.81,0.0,0.0,,,
2024-04-12 07:31,46.0,52.0,44.0,0.44,0.0,0.0,,,
2024-04-13 14:00,62.0,62.0,37.0,0.001,0.0,0.0,,,
2024-04-14 15:10,79.0,79.0,55.0,0.0,0.0,0.0,2.0,drizzle,drizzle
2024-04-15 07:18,53.0,81.0,51.0,0.0,0.0,0.0,,,
2024-04-16 07:10,51.0,75.0,51.0,0.0,0.0,0.0,,,
2024-04-17 07:17,65.0,81.0,51.0,0.08,0.0,0.0,,,
2024-04-18 07:24,46.0,71.0,46.0,0.31,0.0,0.0,,,
2024-04-19 07:13,46.0,64.0,46.0,0.6,0.0,0.0,,,
2024-04-20 07:00,37.0,58.0,37.0,0.0,0.0,0.0,,,
2024-04-21 10:42,43.0,49.0,37.0,0.0,0.0,0.0,,,
2024-04-26 07:00,39.0,57.0,31.0,0.0,0.0,0.0,,,
2024-04-27 14:20,74.0,76.0,39.0,0.24,0.0,0.0,,,
2024-04-28 14:23,76.0,78.0,64.0,0.31,0.0,0.0,,,
2024-04-29 07:23,64.0,80.0,64.0,0.0,0.0,0.0,,,
2024-04-30 07:20,47.0,70.0,47.0,0.15,0.0,0.0,,,
2024-05-01 07:19,60.0,75.0,47.0,0.0,0.0,0.0,,,
2024-05-02 07:13,51.0,81.0,47.0,0.0,0.0,0.0,,,
2024-05-03 07:17,59.0,82.0,51.0,0.44,0.0,0.0,,,
2024-05-04 11:50,71.0,76.0,57.0,0.0,0.0,0.0,3.0,snow,snow
2024-05-05 14:10,58.0,80.0,53.0,0.19,0.0,0.0,3.0,snow,snow
2024-05-06 07:00,53.0,66.0,50.0,0.0,0.0,0.0,,,
2024-05-07 07:00,57.0,70.0,53.0,0.0,0.0,0.0,,,
2024-05-08 07:00,53.0,81.0,51.0,0.13,0.0,0.0,,,
2024-05-09 07:00,53.0,81.0,51.0,0.17,0.0,0.0,,,
2024-05-10 09:41,56.0,58.0,49.0,1.16,0.0,0.0,,,
2024-05-11 07:13,49.0,68.0,48.0,0.21,0.0,0.0,,,
2024-05-12 07:25,45.0,67.0,42.0,0.01,0.0,0.0,,,
2024-05-13 07:00,61.0,78.0,45.0,0.0,0.0,0.0,,,
2024-05-14 07:15,59.0,82.0,58.0,0.0,0.0,0.0,,,
2024-05-15 07:26,55.0,72.0,55.0,0.21,0.0,0.0,,,
2024-05-16 07:13,53.0,72.0,51.0,0.1,0.0,0.0,,,
