date_time,snow_depth_set_1,precip_accum_24_hour_set_1,air_temp_set_1,snow_accum_24_hour_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,weather_cond_code_set_1,weather_condition_set_1d,weather_summary_set_1d
position,elevation,snow_depth,precip_accum_24_hour,air_temp,snow_accum_24_hour,air_temp_high_24_hour,air_temp_low_24_hour,weather_cond_code
ft,ft,Inches,Inches,Fahrenheit,Inches,Fahrenheit,Fahrenheit,code
2023-05-23 07:08,0.0,0.0,54.0,0.0,81.0,49.0,,,
2023-05-24 07:10,0.0,0.0,54.0,0.0,84.0,51.0,,,
2023-05-25 07:17,0.0,0.0,45.0,0.0,84.0,44.0,,,
2023-05-26 07:14,0.0,0.0,46.0,0.0,68.0,45.0,,,
2023-05-27 14:24,0.0,0.0,76.0,0.0,77.0,46.0,,,
2023-05-28 13:47,0.0,0.0,80.0,0.0,81.0,54.0,,,
2023-05-29 14:19,0.0,0.0,83.0,0.0,85.0,50.0,,,
2023-05-30 07:00,0.0,0.0,62.0,0.0,88.0,57.0,,,
2023-05-31 07:00,0.0,0.0,67.0,0.0,89.0,62.0,,,
2023-06-01 07:00,0.0,0.0,67.0,0.0,90.0,63.0,,,
2023-06-02 07:00,0.0,0.0,61.0,0.0,91.0,57.0,,,
2023-06-03 13:08,0.0,0.0,88.0,0.0,92.0,61.0,2.0,drizzle,drizzle
2023-06-04 13:13,0.0,0.0,77.0,0.0,91.0,60.0,1.0,rain,rain
2023-06-05 07:00,0.0,0.0,55.0,0.0,84.0,48.0,,,
2023-06-06 07:28,0.0,0.0,57.0,0.0,83.0,54.0,,,
2023-06-07 07:45,0.0,0.0,56.0,0.0,82.0,49.0,,,
2023-06-08 08:30,0.0,0.0,59.0,0.0,77.0,45.0,,,
2023-06-09 07:00,0.0,0.0,51.0,0.0,77.0,44.0,,,
2023-06-10 07:30,0.0,0.0,52.0,0.0,78.0,44.0,,,
2023-06-11 07:55,0.0,0.0,65.0,0.0,87.0,52.0,,,
2023-06-12 09:25,0.0,0.0,54.0,0.0,73.0,53.0,,,
2023-06-13 07:00,0.0,0.001,57.0,0.0,73.0,48.0,,,
2023-06-14 07:00,0.0,0.81,56.0,0.0,64.0,54.0,,,
2023-06-15 07:00,0.0,0.05,53.0,0.0,68.0,51.0,,,
2023-06-16 07:18,0.0,0.0,54.0,0.0,81.0,51.0,3.0,snow,snow
2023-06-17 07:00,0.0,0.0,52.0,0.0,81.0,48.0,,,
2023-06-18 11:31,0.0,0.0,78.0,0.0,81.0,52.0,,,
2023-06-19 12:30,0.0,0.0,81.0,0.0,84.0,53.0,,,
2023-06-20 07:10,0.0,0.0,65.0,0.0,86.0,64.0,,,
2023-06-21 07:33,0.0,0.0,67.0,0.0,89.0,64.0,,,
2023-06-22 07:00,0.0,0.0,64.0,0.0,89.0,62.0,,,
2023-06-23 07:26,0.0,0.0,65.0,0.0,81.0,62.0,,,
2023-06-24 12:08,0.0,0.0,83.0,0.0,83.0,62.0,,,
2023-06-25 07:00,0.0,0.77,81.0,0.0,88.0,62.0,,,
2023-06-26 07:00,0.0,0.54,66.0,0.0,81.0,64.0,,,
2023-06-27 07:00,0.0,0.44,61.0,0.0,81.0,61.0,,,
2023-06-28 07:00,0.0,0.0,53.0,0.0,70.0,52.0,,,
2023-06-29 07:00,0.0,0.0,66.0,0.0,80.0,52.0,,,
2023-06-30 07:00,0.0,0.0,67.0,0.0,86.0,52.0,,,
