Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb),HeatFlux,Jdate,AP (kPa),gamma,VPD (kPa),VPS (kPa/°C),Rnet (MJ/m²/day),ETo (inch),Week,CWPE,SWPE
2024-04-14,10.418,0.0,388.0,24.955,46.22,3.159,14.602,0.87282,104.0,97.585,0.06507917200843548,1.6987999999999996,0.18824125081245302,15.592261597291118,0.37507924957319855,15,9,5
2024-04-15,5.229,0.0,315.438,19.019,57.78,2.2,12.711,0.87282,105.0,97.536,0.06467532785033818,0.9289000000000001,0.13722489504924787,13.262208676735177,0.20646890983057245,16,10,6
2024-04-16,8.784,0.254,215.354,20.471,48.592,2.407,11.698,0.87282,106.0,97.548,0.06477369483659023,1.2371999999999999,0.14847038911226482,9.539270269594017,0.25980118112503864,16,10,6
2024-04-17,12.704,1.27,165.208,18.527,67.08,2.133,14.311,0.87282,107.0,97.532,0.06464210296528547,0.7019,0.1335819326333427,8.229052195355532,0.17979984244681788,16,10,6
2024-04-18,5.066,8.636,193.375,14.675,66.467,1.67,11.1,0.87282,108.0,97.499,0.06438194685290216,0.5599999999999998,0.10778810452335161,9.073239002207025,0.12963554934135807,16,10,6
2024-04-19,10.112,2.54,236.167,10.015,68.625,1.229,8.435,0.87282,109.0,97.459,0.06406972202332026,0.38549999999999995,0.08235551588906656,10.449791626142101,0.11981966593148839,16,10,6
2024-04-20,9.666,0.0,254.104,6.394,54.717,0.961,5.258,0.87282,110.0,97.426,0.06382776252697368,0.4351999999999999,0.06630891965192393,10.669064546502838,0.13087780853481254,16,10,6
2024-04-21,6.261,0.0,319.604,6.731,52.055,0.984,5.12,0.87282,111.0,97.429,0.06385016431220683,0.472,0.06767955916874542,12.710585229814962,0.1374845319136875,16,10,6
2024-04-22,5.702,0.0,305.604,10.483,50.135,1.268,6.359,0.87282,112.0,97.463,0.06410094188884126,0.6321,0.08465313779366035,12.250554154494743,0.162434470241382,17,11,7
2024-04-23,8.472,30.48,46.0,11.042,73.596,1.316,9.688,0.87282,113.0,97.468,0.06413841505046254,0.34719999999999995,0.08746897376876775,3.8961445643725385,0.08259856622424207,17,11,7
